Case 1:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 4:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 5:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 6:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 7:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 8:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 9:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 10:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 11:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 12:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 13:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 14:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 15:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 16:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 17:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 18:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
Case 19:
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
76 1 0
